Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1. Latent  405:  0.940 ( 0.940,  0.000)
2. Latent  380:  0.880 ( 0.910,  0.030)
3. Latent 1179:  0.870 ( 0.950,  0.080)
4. Latent  527:  0.760 ( 0.790,  0.030)
5. Latent  489:  0.730 ( 0.810,  0.080)
6. Latent 1018:  0.710 ( 0.930,  0.220)
7. Latent 1677:  0.700 ( 0.820,  0.120)
8. Latent 1321:  0.670 ( 0.780,  0.110)
9. Latent 1436:  0.670 ( 0.710,  0.040)
10. Latent 1738:  0.650 ( 0.660,  0.010)
11. Latent 1192:  0.640 ( 0.640,  0.000)
12. Latent 1313:  0.640 ( 0.640,  0.000)
13. Latent 1926:  0.640 ( 0.740,  0.100)
14. Latent  798:  0.630 ( 0.640,  0.010)
15. Latent  912:  0.630 ( 0.630,  0.000)
16. Latent 1053:  0.630 ( 0.750,  0.120)
17. Latent 1763:  0.630 ( 0.760,  0.130)
18. Latent 1859:  0.630 ( 0.660,  0.030)
19. Latent   50:  0.620 ( 0.700,  0.080)
20. Latent  292:  0.620 ( 0.700,  0.080)
21. Latent 1147:  0.620 ( 0.690,  0.070)
22. Latent  195:  0.610 ( 0.630,  0.020)
23. Latent  800:  0.610 ( 0.610,  0.000)
24. Latent  991:  0.610 ( 0.620,  0.010)
25. Latent 1477:  0.610 ( 0.900,  0.290)
26. Latent 1497:  0.610 ( 0.750,  0.140)
27. Latent  330:  0.610 ( 0.650,  0.040)
28. Latent 1132:  0.610 ( 0.800,  0.190)
29. Latent  452:  0.600 ( 0.830,  0.230)
30. Latent  647:  0.600 ( 0.780,  0.180)
31. Latent 1824:  0.600 ( 0.600,  0.000)
32. Latent  746:  0.590 ( 0.670,  0.080)
33. Latent 1736:  0.590 ( 0.850,  0.260)
34. Latent 1216:  0.580 ( 0.610,  0.030)
35. Latent  719:  0.580 ( 0.590,  0.010)
36. Latent  372:  0.570 ( 0.690,  0.120)
37. Latent 1137:  0.570 ( 0.580,  0.010)
38. Latent 1549:  0.570 ( 0.690,  0.120)
39. Latent 1734:  0.570 ( 0.570,  0.000)
40. Latent 1913:  0.570 ( 0.610,  0.040)
