Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1. Latent  405:  0.970 ( 0.970,  0.000)
2. Latent  380:  0.870 ( 0.900,  0.030)
3. Latent 1179:  0.860 ( 0.940,  0.080)
4. Latent 1321:  0.760 ( 0.870,  0.110)
5. Latent  527:  0.720 ( 0.750,  0.030)
6. Latent 1677:  0.700 ( 0.820,  0.120)
7. Latent  292:  0.680 ( 0.760,  0.080)
8. Latent  798:  0.680 ( 0.690,  0.010)
9. Latent 1763:  0.680 ( 0.810,  0.130)
10. Latent  195:  0.660 ( 0.680,  0.020)
11. Latent 1147:  0.660 ( 0.730,  0.070)
12. Latent 1313:  0.650 ( 0.650,  0.000)
13. Latent 1734:  0.650 ( 0.650,  0.000)
14. Latent   63:  0.640 ( 0.750,  0.110)
15. Latent  452:  0.630 ( 0.860,  0.230)
16. Latent  800:  0.630 ( 0.630,  0.000)
17. Latent 1018:  0.630 ( 0.850,  0.220)
18. Latent 1913:  0.630 ( 0.670,  0.040)
19. Latent   50:  0.620 ( 0.700,  0.080)
20. Latent 1877:  0.620 ( 0.620,  0.000)
21. Latent 1436:  0.620 ( 0.660,  0.040)
22. Latent 1477:  0.600 ( 0.890,  0.290)
23. Latent 1926:  0.600 ( 0.700,  0.100)
24. Latent 1192:  0.600 ( 0.600,  0.000)
25. Latent  351:  0.590 ( 0.790,  0.200)
26. Latent  540:  0.590 ( 0.700,  0.110)
27. Latent  746:  0.590 ( 0.670,  0.080)
28. Latent  991:  0.590 ( 0.600,  0.010)
29. Latent 1212:  0.590 ( 0.900,  0.310)
30. Latent 1738:  0.590 ( 0.600,  0.010)
31. Latent 1736:  0.580 ( 0.840,  0.260)
32. Latent 1957:  0.580 ( 0.580,  0.000)
33. Latent 1126:  0.570 ( 0.830,  0.260)
34. Latent 1132:  0.570 ( 0.760,  0.190)
35. Latent 1497:  0.570 ( 0.710,  0.140)
36. Latent  489:  0.560 ( 0.640,  0.080)
37. Latent  912:  0.560 ( 0.560,  0.000)
38. Latent 1053:  0.560 ( 0.680,  0.120)
39. Latent 1137:  0.560 ( 0.570,  0.010)
40. Latent  495:  0.560 ( 0.900,  0.340)
41. Latent 1954:  0.560 ( 0.670,  0.110)
42. Latent  893:  0.550 ( 0.570,  0.020)
43. Latent 1859:  0.550 ( 0.580,  0.030)
44. Latent  372:  0.550 ( 0.670,  0.120)
45. Latent  647:  0.550 ( 0.730,  0.180)
46. Latent  373:  0.540 ( 0.680,  0.140)
47. Latent 1042:  0.530 ( 0.610,  0.080)
48. Latent 1820:  0.530 ( 0.560,  0.030)
49. Latent  305:  0.530 ( 0.800,  0.270)
50. Latent  330:  0.530 ( 0.570,  0.040)
51. Latent 1549:  0.530 ( 0.650,  0.120)
52. Latent 1824:  0.530 ( 0.530,  0.000)
53. Latent 1301:  0.520 ( 0.550,  0.030)
54. Latent  734:  0.510 ( 0.650,  0.140)
55. Latent 1538:  0.510 ( 0.660,  0.150)
56. Latent 1693:  0.510 ( 0.600,  0.090)
57. Latent  756:  0.500 ( 0.600,  0.100)
58. Latent  936:  0.500 ( 0.590,  0.090)
59. Latent 1383:  0.500 ( 0.520,  0.020)
60. Latent 1390:  0.500 ( 0.910,  0.410)
61. Latent  896:  0.490 ( 0.610,  0.120)
62. Latent 1777:  0.490 ( 0.750,  0.260)
63. Latent  171:  0.490 ( 0.490,  0.000)
64. Latent  870:  0.490 ( 0.920,  0.430)
65. Latent 1022:  0.490 ( 0.520,  0.030)
66. Latent 1662:  0.480 ( 0.810,  0.330)
67. Latent  849:  0.480 ( 0.520,  0.040)
68. Latent 1825:  0.480 ( 0.570,  0.090)
69. Latent 1296:  0.480 ( 0.540,  0.060)
70. Latent  476:  0.470 ( 0.500,  0.030)
71. Latent 1216:  0.470 ( 0.500,  0.030)
72. Latent 1314:  0.470 ( 0.700,  0.230)
73. Latent 2043:  0.470 ( 0.480,  0.010)
74. Latent  299:  0.460 ( 0.520,  0.060)
75. Latent 1242:  0.460 ( 0.490,  0.030)
76. Latent 1473:  0.450 ( 0.740,  0.290)
77. Latent  112:  0.450 ( 0.460,  0.010)
78. Latent  126:  0.450 ( 0.840,  0.390)
79. Latent  518:  0.450 ( 0.520,  0.070)
80. Latent  631:  0.450 ( 0.500,  0.050)
81. Latent  681:  0.450 ( 0.850,  0.400)
82. Latent 1524:  0.450 ( 0.570,  0.120)
83. Latent 1674:  0.450 ( 0.530,  0.080)
84. Latent 1707:  0.450 ( 0.480,  0.030)
85. Latent 1256:  0.440 ( 0.740,  0.300)
86. Latent   10:  0.440 ( 0.480,  0.040)
87. Latent  149:  0.440 ( 0.640,  0.200)
88. Latent  702:  0.440 ( 0.810,  0.370)
89. Latent  728:  0.440 ( 0.640,  0.200)
90. Latent  848:  0.440 ( 0.450,  0.010)
91. Latent 1052:  0.440 ( 0.440,  0.000)
92. Latent 1257:  0.440 ( 0.470,  0.030)
93. Latent 1680:  0.440 ( 0.440,  0.000)
94. Latent 1588:  0.430 ( 0.570,  0.140)
95. Latent 1844:  0.430 ( 0.480,  0.050)
96. Latent  394:  0.430 ( 0.490,  0.060)
97. Latent  710:  0.430 ( 0.460,  0.030)
98. Latent 1180:  0.430 ( 0.730,  0.300)
99. Latent  172:  0.420 ( 0.690,  0.270)
100. Latent 1358:  0.420 ( 0.620,  0.200)
101. Latent 1761:  0.420 ( 0.690,  0.270)
102. Latent  719:  0.420 ( 0.430,  0.010)
103. Latent 1402:  0.420 ( 0.440,  0.020)
104. Latent 1633:  0.420 ( 0.440,  0.020)
105. Latent  247:  0.410 ( 0.550,  0.140)
106. Latent 1145:  0.410 ( 0.810,  0.400)
107. Latent  313:  0.410 ( 0.480,  0.070)
108. Latent 1010:  0.410 ( 0.780,  0.370)
109. Latent 1711:  0.410 ( 0.600,  0.190)
110. Latent 1882:  0.410 ( 0.520,  0.110)
111. Latent 1938:  0.410 ( 0.590,  0.180)
112. Latent 1655:  0.400 ( 0.690,  0.290)
113. Latent  387:  0.400 ( 0.430,  0.030)
114. Latent  551:  0.400 ( 0.400,  0.000)
115. Latent  739:  0.400 ( 0.450,  0.050)
116. Latent  865:  0.400 ( 0.600,  0.200)
117. Latent  891:  0.400 ( 0.520,  0.120)
118. Latent 1263:  0.400 ( 0.490,  0.090)
119. Latent 1443:  0.400 ( 0.660,  0.260)
120. Latent 1553:  0.400 ( 0.450,  0.050)
121. Latent  699:  0.390 ( 0.890,  0.500)
122. Latent 1007:  0.390 ( 0.430,  0.040)
123. Latent 1518:  0.390 ( 0.440,  0.050)
124. Latent 1618:  0.390 ( 0.420,  0.030)
125. Latent 1746:  0.390 ( 0.430,  0.040)
126. Latent   87:  0.380 ( 0.440,  0.060)
127. Latent  164:  0.380 ( 0.380,  0.000)
128. Latent  526:  0.380 ( 0.410,  0.030)
129. Latent  799:  0.380 ( 0.450,  0.070)
130. Latent 1028:  0.380 ( 0.390,  0.010)
131. Latent 1507:  0.380 ( 0.430,  0.050)
132. Latent 1563:  0.380 ( 0.630,  0.250)
133. Latent 1830:  0.380 ( 0.490,  0.110)
134. Latent 2020:  0.380 ( 1.000,  0.620)
135. Latent    5:  0.380 ( 0.860,  0.480)
136. Latent 1694:  0.380 ( 0.790,  0.410)
137. Latent   91:  0.370 ( 0.470,  0.100)
138. Latent  459:  0.370 ( 0.420,  0.050)
139. Latent  601:  0.370 ( 0.370,  0.000)
140. Latent  983:  0.370 ( 0.440,  0.070)
141. Latent 1166:  0.370 ( 0.410,  0.040)
142. Latent 1368:  0.370 ( 0.380,  0.010)
143. Latent 1417:  0.370 ( 0.560,  0.190)
144. Latent 1719:  0.370 ( 0.370,  0.000)
145. Latent 1869:  0.370 ( 0.500,  0.130)
146. Latent 1871:  0.370 ( 0.380,  0.010)
147. Latent   72:  0.370 ( 0.400,  0.030)
148. Latent  431:  0.370 ( 0.400,  0.030)
149. Latent  947:  0.370 ( 0.660,  0.290)
150. Latent  973:  0.370 ( 0.670,  0.300)
151. Latent 1377:  0.370 ( 0.530,  0.160)
152. Latent 1495:  0.370 ( 0.390,  0.020)
153. Latent  605:  0.360 ( 0.370,  0.010)
154. Latent 1960:  0.360 ( 0.570,  0.210)
155. Latent  317:  0.360 ( 0.420,  0.060)
156. Latent  809:  0.360 ( 0.430,  0.070)
157. Latent 1609:  0.360 ( 0.390,  0.030)
158. Latent 1984:  0.360 ( 0.580,  0.220)
159. Latent 1109:  0.360 ( 0.600,  0.240)
160. Latent 1752:  0.350 ( 0.750,  0.400)
161. Latent   56:  0.350 ( 0.350,  0.000)
162. Latent   84:  0.350 ( 0.760,  0.410)
163. Latent  572:  0.350 ( 0.570,  0.220)
164. Latent 1088:  0.350 ( 0.450,  0.100)
165. Latent 1335:  0.350 ( 0.380,  0.030)
166. Latent 1685:  0.350 ( 0.360,  0.010)
167. Latent 1785:  0.350 ( 0.380,  0.030)
168. Latent 1800:  0.350 ( 0.510,  0.160)
169. Latent  287:  0.350 ( 0.400,  0.050)
170. Latent  829:  0.350 ( 0.400,  0.050)
171. Latent 1622:  0.350 ( 0.490,  0.140)
172. Latent 1804:  0.350 ( 0.490,  0.140)
173. Latent 1920:  0.350 ( 0.460,  0.110)
174. Latent  883:  0.340 ( 0.610,  0.270)
175. Latent   58:  0.340 ( 0.340,  0.000)
176. Latent 1183:  0.340 ( 0.380,  0.040)
177. Latent 1467:  0.340 ( 0.700,  0.360)
178. Latent 1476:  0.340 ( 0.340,  0.000)
179. Latent 1526:  0.340 ( 0.570,  0.230)
180. Latent 1682:  0.340 ( 0.370,  0.030)
181. Latent 1955:  0.340 ( 0.370,  0.030)
182. Latent   78:  0.340 ( 0.360,  0.020)
183. Latent  640:  0.340 ( 0.450,  0.110)
184. Latent  811:  0.340 ( 0.360,  0.020)
185. Latent 1026:  0.340 ( 0.520,  0.180)
186. Latent 1118:  0.340 ( 0.360,  0.020)
187. Latent 1360:  0.340 ( 0.660,  0.320)
188. Latent 1665:  0.340 ( 0.420,  0.080)
189. Latent 1767:  0.340 ( 0.450,  0.110)
190. Latent 1900:  0.340 ( 0.360,  0.020)
191. Latent 2019:  0.340 ( 0.400,  0.060)
192. Latent  128:  0.330 ( 0.340,  0.010)
193. Latent  537:  0.330 ( 0.680,  0.350)
194. Latent 1049:  0.330 ( 0.340,  0.010)
195. Latent 1127:  0.330 ( 0.340,  0.010)
196. Latent   81:  0.330 ( 0.390,  0.060)
197. Latent  548:  0.330 ( 0.460,  0.130)
198. Latent  596:  0.330 ( 0.380,  0.050)
199. Latent  598:  0.330 ( 0.530,  0.200)
200. Latent  604:  0.330 ( 0.350,  0.020)
201. Latent  841:  0.330 ( 0.520,  0.190)
202. Latent  842:  0.330 ( 0.390,  0.060)
203. Latent  997:  0.330 ( 0.450,  0.120)
204. Latent 1613:  0.330 ( 0.480,  0.150)
205. Latent  113:  0.320 ( 0.590,  0.270)
206. Latent  188:  0.320 ( 0.530,  0.210)
207. Latent  205:  0.320 ( 0.320,  0.000)
208. Latent  367:  0.320 ( 0.350,  0.030)
209. Latent  388:  0.320 ( 0.410,  0.090)
210. Latent  475:  0.320 ( 0.820,  0.500)
211. Latent  645:  0.320 ( 0.580,  0.260)
212. Latent  743:  0.320 ( 0.320,  0.000)
213. Latent  763:  0.320 ( 0.360,  0.040)
214. Latent  838:  0.320 ( 0.320,  0.000)
215. Latent  854:  0.320 ( 0.460,  0.140)
216. Latent 1110:  0.320 ( 0.390,  0.070)
217. Latent 1971:  0.320 ( 0.330,  0.010)
218. Latent  600:  0.320 ( 0.730,  0.410)
219. Latent  145:  0.310 ( 0.470,  0.160)
220. Latent  265:  0.310 ( 0.310,  0.000)
221. Latent  274:  0.310 ( 0.320,  0.010)
222. Latent  524:  0.310 ( 0.380,  0.070)
223. Latent  654:  0.310 ( 0.410,  0.100)
224. Latent  814:  0.310 ( 0.340,  0.030)
225. Latent  949:  0.310 ( 0.320,  0.010)
226. Latent 1387:  0.310 ( 0.520,  0.210)
227. Latent 1453:  0.310 ( 0.680,  0.370)
228. Latent 1520:  0.310 ( 0.450,  0.140)
229. Latent 1542:  0.310 ( 0.320,  0.010)
230. Latent 2021:  0.310 ( 0.370,  0.060)
231. Latent  416:  0.310 ( 0.400,  0.090)
232. Latent  951:  0.310 ( 0.660,  0.350)
233. Latent   36:  0.300 ( 0.350,  0.050)
234. Latent  304:  0.300 ( 0.510,  0.210)
235. Latent  670:  0.300 ( 0.380,  0.080)
236. Latent  966:  0.300 ( 0.340,  0.040)
237. Latent 1001:  0.300 ( 0.350,  0.050)
238. Latent 1262:  0.300 ( 0.480,  0.180)
239. Latent 1975:  0.300 ( 0.470,  0.170)
240. Latent  547:  0.300 ( 0.300,  0.000)
241. Latent 1170:  0.300 ( 0.300,  0.000)
242. Latent 1190:  0.300 ( 0.320,  0.020)
243. Latent 1585:  0.300 ( 0.320,  0.020)
244. Latent 1717:  0.300 ( 0.600,  0.300)
245. Latent 1872:  0.300 ( 0.390,  0.090)
246. Latent 1977:  0.300 ( 0.400,  0.100)
247. Latent 1175:  0.290 ( 0.340,  0.050)
248. Latent 1267:  0.290 ( 0.370,  0.080)
249. Latent 1277:  0.290 ( 0.340,  0.050)
250. Latent 1444:  0.290 ( 0.370,  0.080)
251. Latent 1597:  0.290 ( 0.370,  0.080)
252. Latent 1796:  0.290 ( 0.820,  0.530)
253. Latent  353:  0.290 ( 0.300,  0.010)
254. Latent  375:  0.290 ( 0.300,  0.010)
255. Latent  418:  0.290 ( 0.320,  0.030)
256. Latent  499:  0.290 ( 0.350,  0.060)
257. Latent  845:  0.290 ( 0.290,  0.000)
258. Latent  978:  0.290 ( 0.300,  0.010)
259. Latent 1142:  0.290 ( 0.290,  0.000)
260. Latent 1164:  0.290 ( 0.300,  0.010)
261. Latent 1178:  0.290 ( 0.450,  0.160)
262. Latent 1213:  0.290 ( 0.580,  0.290)
263. Latent 1867:  0.290 ( 0.310,  0.020)
264. Latent 1974:  0.290 ( 0.310,  0.020)
265. Latent 2009:  0.290 ( 0.290,  0.000)
266. Latent  340:  0.290 ( 0.400,  0.110)
267. Latent 1300:  0.290 ( 0.400,  0.110)
268. Latent 1692:  0.290 ( 0.860,  0.570)
269. Latent  437:  0.280 ( 0.280,  0.000)
270. Latent  570:  0.280 ( 0.350,  0.070)
271. Latent  993:  0.280 ( 0.290,  0.010)
272. Latent 1011:  0.280 ( 0.290,  0.010)
273. Latent 1646:  0.280 ( 0.280,  0.000)
274. Latent   74:  0.280 ( 0.520,  0.240)
275. Latent  150:  0.280 ( 0.300,  0.020)
276. Latent  243:  0.280 ( 0.400,  0.120)
277. Latent  370:  0.280 ( 0.650,  0.370)
278. Latent  830:  0.280 ( 0.360,  0.080)
279. Latent  919:  0.270 ( 0.340,  0.070)
280. Latent 1481:  0.270 ( 0.340,  0.070)
281. Latent 1816:  0.270 ( 0.280,  0.010)
282. Latent   14:  0.270 ( 0.290,  0.020)
283. Latent  467:  0.270 ( 0.320,  0.050)
284. Latent 1290:  0.270 ( 0.270,  0.000)
285. Latent 1353:  0.270 ( 0.290,  0.020)
286. Latent 1379:  0.270 ( 0.330,  0.060)
