Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1. Latent  405:  0.985 ( 0.993,  0.007)
2. Latent  380:  0.903 ( 0.959,  0.056)
3. Latent 1633:  0.899 ( 0.918,  0.019)
4. Latent 1913:  0.881 ( 0.929,  0.049)
5. Latent 1179:  0.836 ( 0.963,  0.127)
6. Latent 1321:  0.832 ( 0.907,  0.075)
7. Latent  198:  0.832 ( 0.843,  0.011)
8. Latent 1859:  0.821 ( 0.888,  0.067)
9. Latent 1820:  0.817 ( 0.858,  0.041)
10. Latent 1734:  0.795 ( 0.828,  0.034)
11. Latent  292:  0.776 ( 0.866,  0.090)
12. Latent  489:  0.772 ( 0.836,  0.063)
13. Latent 1926:  0.761 ( 0.832,  0.071)
14. Latent 1436:  0.757 ( 0.799,  0.041)
15. Latent 1763:  0.757 ( 0.884,  0.127)
16. Latent 1137:  0.750 ( 0.757,  0.007)
17. Latent 1263:  0.731 ( 0.851,  0.119)
18. Latent 1344:  0.724 ( 0.731,  0.007)
19. Latent 1147:  0.716 ( 0.791,  0.075)
20. Latent   63:  0.709 ( 0.799,  0.090)
21. Latent  570:  0.709 ( 0.784,  0.075)
22. Latent 1216:  0.709 ( 0.735,  0.026)
23. Latent 1314:  0.705 ( 0.925,  0.220)
24. Latent  811:  0.701 ( 0.713,  0.011)
25. Latent  848:  0.698 ( 0.761,  0.063)
26. Latent 1497:  0.698 ( 0.896,  0.198)
27. Latent 1524:  0.694 ( 0.858,  0.164)
28. Latent 1212:  0.690 ( 0.993,  0.302)
29. Latent 1018:  0.690 ( 0.873,  0.183)
30. Latent 1736:  0.690 ( 0.944,  0.254)
31. Latent   50:  0.687 ( 0.795,  0.108)
32. Latent   91:  0.683 ( 0.828,  0.146)
33. Latent  746:  0.675 ( 0.795,  0.119)
34. Latent 1192:  0.675 ( 0.694,  0.019)
35. Latent 1744:  0.672 ( 0.743,  0.071)
36. Latent 1242:  0.672 ( 0.694,  0.022)
37. Latent 1588:  0.668 ( 0.813,  0.146)
38. Latent  883:  0.664 ( 0.951,  0.287)
39. Latent  305:  0.657 ( 0.922,  0.265)
40. Latent 1677:  0.653 ( 0.799,  0.146)
41. Latent 1984:  0.649 ( 0.892,  0.243)
42. Latent 2019:  0.649 ( 0.683,  0.034)
43. Latent 1257:  0.646 ( 0.690,  0.045)
44. Latent  912:  0.642 ( 0.649,  0.007)
45. Latent 1955:  0.634 ( 0.668,  0.034)
46. Latent 1957:  0.634 ( 0.642,  0.007)
47. Latent 1126:  0.631 ( 0.892,  0.261)
48. Latent  988:  0.627 ( 0.743,  0.116)
49. Latent 1011:  0.623 ( 0.627,  0.004)
50. Latent 1164:  0.623 ( 0.623,  0.000)
51. Latent 1938:  0.623 ( 0.743,  0.119)
52. Latent  891:  0.616 ( 0.739,  0.123)
53. Latent 1402:  0.616 ( 0.649,  0.034)
54. Latent 1132:  0.612 ( 0.761,  0.149)
55. Latent  798:  0.608 ( 0.619,  0.011)
56. Latent 1877:  0.604 ( 0.619,  0.015)
57. Latent  372:  0.601 ( 0.683,  0.082)
58. Latent 1390:  0.601 ( 0.966,  0.366)
59. Latent 1693:  0.601 ( 0.687,  0.086)
60. Latent  171:  0.590 ( 0.608,  0.019)
61. Latent  495:  0.590 ( 0.948,  0.358)
62. Latent  631:  0.590 ( 0.657,  0.067)
63. Latent  830:  0.590 ( 0.675,  0.086)
64. Latent 1719:  0.590 ( 0.593,  0.004)
65. Latent  149:  0.590 ( 0.769,  0.179)
66. Latent  373:  0.586 ( 0.743,  0.157)
67. Latent  313:  0.586 ( 0.705,  0.119)
68. Latent  756:  0.586 ( 0.664,  0.078)
69. Latent  126:  0.582 ( 0.970,  0.388)
70. Latent 1010:  0.582 ( 0.933,  0.351)
71. Latent  195:  0.578 ( 0.616,  0.037)
72. Latent  734:  0.578 ( 0.690,  0.112)
73. Latent  896:  0.578 ( 0.694,  0.116)
74. Latent 1825:  0.578 ( 0.660,  0.082)
75. Latent  394:  0.575 ( 0.631,  0.056)
76. Latent  527:  0.575 ( 0.604,  0.030)
77. Latent  145:  0.571 ( 0.739,  0.168)
78. Latent 1477:  0.571 ( 0.910,  0.340)
79. Latent  188:  0.567 ( 0.713,  0.146)
80. Latent 1296:  0.567 ( 0.608,  0.041)
81. Latent  572:  0.560 ( 0.806,  0.246)
82. Latent  645:  0.560 ( 0.888,  0.328)
83. Latent 1053:  0.560 ( 0.694,  0.134)
84. Latent 1549:  0.560 ( 0.746,  0.187)
85. Latent  452:  0.556 ( 0.772,  0.216)
86. Latent  739:  0.556 ( 0.597,  0.041)
87. Latent 1804:  0.552 ( 0.746,  0.194)
88. Latent  865:  0.549 ( 0.716,  0.168)
89. Latent 1785:  0.549 ( 0.612,  0.063)
90. Latent 1022:  0.545 ( 0.593,  0.049)
91. Latent  870:  0.545 ( 0.985,  0.440)
92. Latent  121:  0.541 ( 0.780,  0.239)
93. Latent 1316:  0.541 ( 0.623,  0.082)
94. Latent 1387:  0.541 ( 0.739,  0.198)
95. Latent 1704:  0.541 ( 0.705,  0.164)
96. Latent 1830:  0.541 ( 0.746,  0.205)
97. Latent 1993:  0.541 ( 0.582,  0.041)
98. Latent  172:  0.541 ( 0.802,  0.261)
99. Latent  612:  0.537 ( 0.567,  0.030)
100. Latent  983:  0.537 ( 0.601,  0.063)
101. Latent  433:  0.534 ( 0.672,  0.138)
102. Latent 1145:  0.534 ( 0.981,  0.448)
103. Latent 1499:  0.534 ( 0.858,  0.325)
104. Latent 1738:  0.534 ( 0.541,  0.007)
105. Latent 1777:  0.534 ( 0.791,  0.257)
106. Latent 1800:  0.534 ( 0.735,  0.201)
107. Latent  318:  0.530 ( 0.590,  0.060)
108. Latent 1305:  0.530 ( 0.582,  0.052)
109. Latent 1694:  0.530 ( 0.955,  0.425)
110. Latent 1553:  0.522 ( 0.552,  0.030)
111. Latent  681:  0.522 ( 0.896,  0.373)
112. Latent 1360:  0.522 ( 0.847,  0.325)
113. Latent 1476:  0.522 ( 0.526,  0.004)
114. Latent  699:  0.519 ( 1.000,  0.481)
115. Latent  951:  0.519 ( 0.959,  0.440)
116. Latent  966:  0.519 ( 0.567,  0.049)
117. Latent 1520:  0.519 ( 0.709,  0.190)
118. Latent 1417:  0.519 ( 0.754,  0.235)
119. Latent 1358:  0.515 ( 0.765,  0.250)
120. Latent 1954:  0.515 ( 0.627,  0.112)
121. Latent 1920:  0.511 ( 0.593,  0.082)
122. Latent 1662:  0.507 ( 0.840,  0.332)
123. Latent  524:  0.504 ( 0.567,  0.063)
124. Latent  800:  0.500 ( 0.507,  0.007)
125. Latent 1453:  0.500 ( 0.877,  0.377)
126. Latent  814:  0.496 ( 0.541,  0.045)
127. Latent 1655:  0.496 ( 0.813,  0.317)
128. Latent 2028:  0.493 ( 0.750,  0.257)
129. Latent  841:  0.493 ( 0.713,  0.220)
130. Latent 1467:  0.493 ( 0.854,  0.362)
131. Latent 1356:  0.489 ( 0.757,  0.269)
132. Latent  418:  0.489 ( 0.504,  0.015)
133. Latent 1563:  0.489 ( 0.761,  0.272)
134. Latent  141:  0.485 ( 0.500,  0.015)
135. Latent  702:  0.485 ( 0.858,  0.373)
136. Latent  247:  0.485 ( 0.623,  0.138)
137. Latent  838:  0.485 ( 0.489,  0.004)
138. Latent 2007:  0.481 ( 0.496,  0.015)
139. Latent  958:  0.481 ( 0.481,  0.000)
140. Latent  491:  0.478 ( 0.552,  0.075)
141. Latent  387:  0.478 ( 0.500,  0.022)
142. Latent  395:  0.478 ( 0.638,  0.160)
143. Latent  936:  0.474 ( 0.616,  0.142)
144. Latent 1975:  0.470 ( 0.642,  0.172)
145. Latent    5:  0.470 ( 0.948,  0.478)
146. Latent 1301:  0.470 ( 0.522,  0.052)
147. Latent 1363:  0.466 ( 0.474,  0.007)
148. Latent   81:  0.466 ( 0.537,  0.071)
149. Latent  845:  0.463 ( 0.466,  0.004)
150. Latent 1049:  0.463 ( 0.466,  0.004)
151. Latent 1210:  0.463 ( 0.776,  0.313)
152. Latent  416:  0.463 ( 0.545,  0.082)
153. Latent 1107:  0.459 ( 0.690,  0.231)
154. Latent 1725:  0.459 ( 0.791,  0.332)
155. Latent 2043:  0.459 ( 0.466,  0.007)
156. Latent  321:  0.459 ( 0.728,  0.269)
157. Latent 1566:  0.455 ( 0.493,  0.037)
158. Latent 1653:  0.455 ( 0.597,  0.142)
159. Latent  242:  0.451 ( 0.910,  0.459)
160. Latent  589:  0.451 ( 0.451,  0.000)
161. Latent  849:  0.451 ( 0.530,  0.078)
162. Latent 1585:  0.451 ( 0.530,  0.078)
163. Latent  330:  0.448 ( 0.526,  0.078)
164. Latent 1473:  0.448 ( 0.709,  0.261)
165. Latent  728:  0.444 ( 0.608,  0.164)
166. Latent 1109:  0.444 ( 0.716,  0.272)
167. Latent 1070:  0.444 ( 0.444,  0.000)
168. Latent 1464:  0.444 ( 0.597,  0.153)
169. Latent   41:  0.444 ( 0.877,  0.433)
170. Latent  280:  0.444 ( 0.545,  0.101)
171. Latent  600:  0.437 ( 0.810,  0.373)
172. Latent 1606:  0.437 ( 0.437,  0.000)
173. Latent 1711:  0.437 ( 0.616,  0.179)
174. Latent   74:  0.433 ( 0.739,  0.306)
175. Latent  476:  0.433 ( 0.440,  0.007)
176. Latent 1942:  0.433 ( 0.522,  0.090)
177. Latent  351:  0.433 ( 0.687,  0.254)
178. Latent  598:  0.433 ( 0.619,  0.187)
179. Latent  103:  0.429 ( 0.429,  0.000)
