Latent: 405, Frequency: 3
Latent: 380, Frequency: 3
Latent: 1913, Frequency: 3
Latent: 1179, Frequency: 3
Latent: 1321, Frequency: 3
Latent: 1859, Frequency: 3
Latent: 1820, Frequency: 3
Latent: 1734, Frequency: 3
Latent: 292, Frequency: 3
Latent: 489, Frequency: 3
Latent: 1926, Frequency: 3
Latent: 1436, Frequency: 3
Latent: 1763, Frequency: 3
Latent: 1137, Frequency: 3
Latent: 1147, Frequency: 3
Latent: 63, Frequency: 3
Latent: 1497, Frequency: 3
Latent: 1212, Frequency: 3
Latent: 1018, Frequency: 3
Latent: 1736, Frequency: 3
Latent: 50, Frequency: 3
Latent: 746, Frequency: 3
Latent: 1192, Frequency: 3
Latent: 305, Frequency: 3
Latent: 1677, Frequency: 3
Latent: 912, Frequency: 3
Latent: 1957, Frequency: 3
Latent: 1126, Frequency: 3
Latent: 1132, Frequency: 3
Latent: 798, Frequency: 3
Latent: 1877, Frequency: 3
Latent: 372, Frequency: 3
Latent: 1390, Frequency: 3
Latent: 495, Frequency: 3
Latent: 756, Frequency: 3
Latent: 195, Frequency: 3
Latent: 527, Frequency: 3
Latent: 1477, Frequency: 3
Latent: 1053, Frequency: 3
Latent: 1549, Frequency: 3
Latent: 452, Frequency: 3
Latent: 1738, Frequency: 3
Latent: 800, Frequency: 3

Latent: 1216, Frequency: 2
Latent: 1257, Frequency: 2
Latent: 1693, Frequency: 2
Latent: 171, Frequency: 2
Latent: 631, Frequency: 2
Latent: 373, Frequency: 2
Latent: 734, Frequency: 2
Latent: 896, Frequency: 2
Latent: 1825, Frequency: 2
Latent: 739, Frequency: 2
Latent: 870, Frequency: 2
Latent: 1777, Frequency: 2
Latent: 1954, Frequency: 2
Latent: 1313, Frequency: 2
Latent: 991, Frequency: 2
Latent: 330, Frequency: 2
Latent: 647, Frequency: 2
Latent: 1824, Frequency: 2
Latent: 351, Frequency: 2
Latent: 1301, Frequency: 2
Latent: 1538, Frequency: 2
Latent: 1042, Frequency: 2
Latent: 540, Frequency: 2
Latent: 1633, Frequency: 1
Latent: 198, Frequency: 1
Latent: 1263, Frequency: 1
Latent: 1344, Frequency: 1
Latent: 570, Frequency: 1
Latent: 1314, Frequency: 1
Latent: 811, Frequency: 1
Latent: 848, Frequency: 1
Latent: 1524, Frequency: 1
Latent: 91, Frequency: 1
Latent: 1744, Frequency: 1
Latent: 1242, Frequency: 1
Latent: 1588, Frequency: 1
Latent: 883, Frequency: 1
Latent: 1984, Frequency: 1
Latent: 2019, Frequency: 1
Latent: 1955, Frequency: 1
Latent: 988, Frequency: 1
Latent: 1011, Frequency: 1
Latent: 1164, Frequency: 1
Latent: 1938, Frequency: 1
Latent: 891, Frequency: 1
Latent: 1402, Frequency: 1
Latent: 830, Frequency: 1
Latent: 1719, Frequency: 1
Latent: 149, Frequency: 1
Latent: 313, Frequency: 1
Latent: 126, Frequency: 1
Latent: 1010, Frequency: 1
Latent: 394, Frequency: 1
Latent: 145, Frequency: 1
Latent: 188, Frequency: 1
Latent: 1296, Frequency: 1
Latent: 572, Frequency: 1
Latent: 645, Frequency: 1
Latent: 1804, Frequency: 1
Latent: 865, Frequency: 1
Latent: 1785, Frequency: 1
Latent: 1022, Frequency: 1
Latent: 121, Frequency: 1
Latent: 1316, Frequency: 1
Latent: 1387, Frequency: 1
Latent: 1704, Frequency: 1
Latent: 1830, Frequency: 1
Latent: 1993, Frequency: 1
Latent: 172, Frequency: 1
Latent: 612, Frequency: 1
Latent: 983, Frequency: 1
Latent: 433, Frequency: 1
Latent: 1145, Frequency: 1
Latent: 1499, Frequency: 1
Latent: 1800, Frequency: 1
Latent: 318, Frequency: 1
Latent: 1305, Frequency: 1
Latent: 1694, Frequency: 1
Latent: 1553, Frequency: 1
Latent: 681, Frequency: 1
Latent: 1360, Frequency: 1
Latent: 1476, Frequency: 1
Latent: 699, Frequency: 1
Latent: 951, Frequency: 1
Latent: 966, Frequency: 1
Latent: 1520, Frequency: 1
Latent: 1417, Frequency: 1
Latent: 1358, Frequency: 1
Latent: 1920, Frequency: 1
Latent: 1662, Frequency: 1
Latent: 524, Frequency: 1
Latent: 1453, Frequency: 1
Latent: 719, Frequency: 1
Latent: 849, Frequency: 1
Latent: 1960, Frequency: 1
Latent: 728, Frequency: 1
Latent: 387, Frequency: 1
Latent: 893, Frequency: 1
Latent: 936, Frequency: 1
Latent: 1383, Frequency: 1
