Latent: 34, Frequency: 5
Latent: 1450, Frequency: 4
Latent: 1145, Frequency: 4
Latent: 2020, Frequency: 4


Latent: 1685, Frequency: 3
Latent: 1749, Frequency: 3
Latent: 1164, Frequency: 3
Latent: 1565, Frequency: 3
Latent: 262, Frequency: 3
Latent: 1316, Frequency: 3
Latent: 201, Frequency: 2
Latent: 433, Frequency: 2
Latent: 1564, Frequency: 2
Latent: 1959, Frequency: 2
Latent: 658, Frequency: 2
Latent: 1913, Frequency: 1
Latent: 1618, Frequency: 1
Latent: 1045, Frequency: 1
Latent: 32, Frequency: 1
Latent: 1082, Frequency: 1
Latent: 570, Frequency: 1
Latent: 405, Frequency: 1
Latent: 792, Frequency: 1
Latent: 1003, Frequency: 1
Latent: 954, Frequency: 1
Latent: 321, Frequency: 1
Latent: 1258, Frequency: 1
Latent: 1908, Frequency: 1
Latent: 793, Frequency: 1
