Latent: 32, Frequency: 6
Latent: 1685, Frequency: 6
Latent: 416, Frequency: 5
Latent: 1660, Frequency: 5
Latent: 321, Frequency: 5
Latent: 1959, Frequency: 5
Latent: 495, Frequency: 5
Latent: 1192, Frequency: 5
Latent: 262, Frequency: 5
Latent: 34, Frequency: 4
Latent: 1633, Frequency: 4
Latent: 570, Frequency: 4
Latent: 2020, Frequency: 4
Latent: 405, Frequency: 4
Latent: 46, Frequency: 4
Latent: 1823, Frequency: 4
Latent: 234, Frequency: 4

Latent: 1749, Frequency: 3
Latent: 1615, Frequency: 3
Latent: 419, Frequency: 3
Latent: 792, Frequency: 3
Latent: 720, Frequency: 3
Latent: 1064, Frequency: 3
Latent: 356, Frequency: 3
Latent: 1997, Frequency: 3
Latent: 403, Frequency: 2
Latent: 661, Frequency: 2
Latent: 645, Frequency: 2
Latent: 1495, Frequency: 2
Latent: 1565, Frequency: 2
Latent: 1999, Frequency: 2
Latent: 1613, Frequency: 2
Latent: 66, Frequency: 2
Latent: 145, Frequency: 2
Latent: 1908, Frequency: 2
Latent: 367, Frequency: 2
Latent: 394, Frequency: 1
Latent: 1450, Frequency: 1
Latent: 1164, Frequency: 1
Latent: 143, Frequency: 1
Latent: 149, Frequency: 1
Latent: 23, Frequency: 1
Latent: 1800, Frequency: 1
Latent: 1777, Frequency: 1
Latent: 742, Frequency: 1
Latent: 1067, Frequency: 1
Latent: 124, Frequency: 1
Latent: 886, Frequency: 1
Latent: 1258, Frequency: 1
Latent: 1042, Frequency: 1
Latent: 29, Frequency: 1
Latent: 95, Frequency: 1
Latent: 814, Frequency: 1
Latent: 1938, Frequency: 1
Latent: 1467, Frequency: 1
Latent: 829, Frequency: 1
Latent: 76, Frequency: 1
Latent: 994, Frequency: 1
Latent: 540, Frequency: 1
